File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
sd_app.o,41.581169%,2756,2375,2360,15,0,2756
startup_gd32f450_470.o,30.899216%,2048,492,64,428,0,2048
ir_cmic_gd32f470vet6.o,8.690404%,576,1674,1672,0,2,574
usart_app.o,8.418829%,558,7850,5846,1976,28,530
btn_app.o,2.957151%,196,690,480,14,196,0
c_w.l,1.448401%,96,12863,12312,551,0,96
libspace.o,1.448401%,96,8,8,0,0,96
perf_counter.o,1.146651%,76,754,742,4,8,68
sdio_sdcard.o,0.920338%,61,6593,6588,0,5,56
scheduler.o,0.920338%,61,150,90,0,60,1
ebtn.o,0.905250%,60,1910,1910,0,0,60
oled.o,0.331925%,22,3432,1338,2072,22,0
adc_app.o,0.120700%,8,228,228,0,0,8
ff.o,0.090525%,6,5977,5964,13,0,6
systick.o,0.060350%,4,142,142,0,0,4
system_gd32f4xx.o,0.060350%,4,584,580,0,4,0
